,x,y,u
575,0.7,0.05,0.07783429885943088
576,0.71,0.05,0.07009054893380526
577,0.72,0.05,0.06248539772549473
578,0.73,0.05,0.05504296531937739
579,0.74,0.05,0.047787247836560694
580,0.75,0.05,0.04074210178381347
581,0.76,0.05,0.03393123537650455
582,0.77,0.05,0.027378207650783335
583,0.78,0.05,0.02110643625910211
584,0.79,0.05,0.015139214918679443
585,0.8,0.05,0.009499741540102054
586,0.81,0.05,0.004211158075493242
587,0.82,0.05,-0.0007033969563662806
588,0.83,0.05,-0.0052207225728475885
589,0.84,0.05,-0.009317475955710721
590,0.85,0.05,-0.01297008068691247
591,0.86,0.05,-0.01615462590709897
592,0.87,0.05,-0.01884676378994222
593,0.88,0.05,-0.021021620040752344
594,0.89,0.05,-0.022653745108465885
595,0.9,0.05,-0.023717156651309114
596,0.91,0.05,-0.024185563678113104
597,0.92,0.05,-0.024032931467646
598,0.93,0.05,-0.023234661840608455
599,0.94,0.05,-0.021769848963169167
600,0.95,0.05,-0.01962534381601884
601,0.96,0.05,-0.0168026879407228
602,0.97,0.05,-0.01332915202235287
603,0.98,0.05,-0.009273483814604496
604,0.99,0.05,-0.004764062179055418
605,1.0,0.05,0.0
606,0.0,0.06,0.0
607,0.01,0.06,0.010978594763880184
608,0.02,0.06,0.02193664933638016
609,0.03,0.06,0.03285366675185537
610,0.04,0.06,0.04370923639683249
611,0.05,0.06,0.054483076939683385
612,0.06,0.06,0.06515507896636863
613,0.07,0.06,0.07570534722721173
614,0.08,0.06,0.08611424240216223
615,0.09,0.06,0.09636242229510433
616,0.1,0.06,0.10643088237144635
617,0.11,0.06,0.11630099555746383
618,0.12,0.06,0.12595455122463223
619,0.13,0.06,0.1353737932874373
620,0.14,0.06,0.14454145734884177
621,0.15,0.06,0.15344080683366007
622,0.16,0.06,0.1620556680564719
623,0.17,0.06,0.17037046417731078
624,0.18,0.06,0.17837024800508947
625,0.19,0.06,0.18604073361545206
626,0.2,0.06,0.19336832675634222
627,0.21,0.06,0.20034015402088606
628,0.22,0.06,0.20694409077303944
629,0.23,0.06,0.21316878781665247
630,0.24,0.06,0.21900369680295453
631,0.25,0.06,0.22443909437474668
632,0.26,0.06,0.22946610504758752
633,0.27,0.06,0.23407672282875835
634,0.28,0.06,0.2382638315735888
635,0.29,0.06,0.2420212240756438
636,0.3,0.06,0.24534361988217407
637,0.31,0.06,0.2482266818190361
638,0.32,0.06,0.2506670311999827
639,0.33,0.06,0.25266226168388495
640,0.34,0.06,0.2542109517302552
641,0.35,0.06,0.25531267558868054
642,0.36,0.06,0.2559680127418769
643,0.37,0.06,0.25617855570555503
644,0.38,0.06,0.25594691607182096
645,0.39,0.06,0.25527672866716034
646,0.4,0.06,0.2541726536820269
647,0.41,0.06,0.2526403766175407
648,0.42,0.06,0.25068660588670055
649,0.43,0.06,0.24831906790367675
650,0.44,0.06,0.24554649949592192
651,0.45,0.06,0.2423786374806487
652,0.46,0.06,0.238826205260093
653,0.47,0.06,0.23490089630910818
654,0.48,0.06,0.23061535445396167
655,0.49,0.06,0.225983150872397
656,0.5,0.06,0.22101875778147717
657,0.51,0.06,0.21573751882059095
658,0.52,0.06,0.21015561618120865
659,0.53,0.06,0.2042900345812908
660,0.54,0.06,0.1981585222293532
661,0.55,0.06,0.19177954896971694
662,0.56,0.06,0.18517226184510927
663,0.57,0.06,0.17835643835433845
664,0.58,0.06,0.17135243772022726
665,0.59,0.06,0.16418115051557236
666,0.6,0.06,0.15686394702208697
667,0.61,0.06,0.14942262471885515
668,0.62,0.06,0.14187935531283888
669,0.63,0.06,0.1342566317347678
670,0.64,0.06,0.12657721552989057
671,0.65,0.06,0.1188640850753473
672,0.66,0.06,0.11114038505526998
673,0.67,0.06,0.10342937762213969
674,0.68,0.06,0.09575439566946639
675,0.69,0.06,0.08813879863748603
676,0.7,0.06,0.08060593127114368
677,0.71,0.06,0.07317908574875827
678,0.72,0.06,0.06588146760068107
679,0.73,0.06,0.058736165839666205
680,0.74,0.06,0.051766127727416865
681,0.75,0.06,0.04499413860248099
682,0.76,0.06,0.03844280718906274
683,0.77,0.06,0.03213455678719173
684,0.78,0.06,0.026091622700308834
685,0.79,0.06,0.020336056167817373
686,0.8,0.06,0.014889734907407904
687,0.81,0.06,0.009774380087056441
688,0.82,0.06,0.005011579063166642
689,0.83,0.06,0.0006228124175585858
690,0.84,0.06,-0.0033705174928245827
691,0.85,0.06,-0.006947061405243321
692,0.86,0.06,-0.01008550984263496
693,0.87,0.06,-0.012764605623701781
694,0.88,0.06,-0.014963205163966766
695,0.89,0.06,-0.016660425861607486
696,0.9,0.06,-0.01783593949214824
697,0.91,0.06,-0.01847050669115516
698,0.92,0.06,-0.01854690059081705
699,0.93,0.06,-0.01805144328723892
700,0.94,0.06,-0.01697647579842269
701,0.95,0.06,-0.015324178611551144
702,0.96,0.06,-0.013112181019355233
703,0.97,0.06,-0.010381158946328507
704,0.98,0.06,-0.00720377020866737
705,0.99,0.06,-0.0036923652760440916
706,1.0,0.06,0.0
707,0.0,0.07,0.0
708,0.01,0.07,0.010631085527956635
709,0.02,0.07,0.021242551192909315
710,0.03,0.07,0.03181481797344447
711,0.04,0.07,0.042328388435470675
712,0.05,0.07,0.05276388728872999
713,0.06,0.07,0.06310210166051769
714,0.07,0.07,0.07332402099533539
715,0.08,0.07,0.08341087649174944
716,0.09,0.07,0.09334417999089338
717,0.1,0.07,0.10310576223482494
718,0.11,0.07,0.1126778104173085
719,0.12,0.07,0.12204290495451602
720,0.13,0.07,0.1311840554085904
721,0.14,0.07,0.14008473550295686
722,0.15,0.07,0.14872891717464012
723,0.16,0.07,0.15710110361558907
724,0.17,0.07,0.1651863612620386
725,0.18,0.07,0.17297035069815422
726,0.19,0.07,0.18043935644748704
727,0.2,0.07,0.18758031563297659
728,0.21,0.07,0.1943808454932119
729,0.22,0.07,0.20082926974920706
730,0.23,0.07,0.20691464382186206
731,0.24,0.07,0.2126267789053216
